,inds,EAR_vals,sec
5701,5701,0.13876124006952026,114.70824949698188
5702,5702,0.1357574684109004,114.72837022132796
6015,6015,0.11227089895380987,121.02615694164989
6016,6016,0.09996004793608948,121.04627766599597
6017,6017,0.11995205752330736,121.06639839034204
6093,6093,0.16967330856785104,122.59557344064386
6094,6094,0.11916094995700124,122.61569416498993
6095,6095,0.08651004517812746,122.635814889336
6096,6096,0.06728638003744175,122.65593561368209
6097,6097,0.09033203476896767,122.67605633802816
6098,6098,0.10991210545939684,122.69617706237423
6329,6329,0.11486067977499788,127.3440643863179
6330,6330,0.08329721137884799,127.36418511066398
6331,6331,0.12078242989319495,127.38430583501005
6332,6332,0.1225,127.40442655935612
6636,6636,0.16637881318707332,133.52112676056336
6637,6637,0.1231470749190022,133.54124748490946
6638,6638,0.09104103283793884,133.56136820925553
6639,6639,0.09040208240150338,133.5814889336016
6640,6640,0.1016227766016838,133.60160965794768
6641,6641,0.1630785556162233,133.62173038229375
6663,6663,0.15724006723942086,134.06438631790743
6664,6664,0.14116614928915527,134.0845070422535
6665,6665,0.1357484893699772,134.10462776659958
6666,6666,0.0930921026355728,134.12474849094568
6667,6667,0.11685857558550045,134.14486921529175
6668,6668,0.05882218260780753,134.16498993963782
6669,6669,0.059870539349559576,134.1851106639839
6670,6670,0.11764436521561505,134.20523138832996
6671,6671,0.1429602250544571,134.22535211267603
6672,6672,0.13449020412616775,134.24547283702213
6673,6673,0.13157353745950112,134.2655935613682
6674,6674,0.15388902463445098,134.28571428571428
6675,6675,0.1592801338437626,134.30583501006035
6676,6676,0.15705931448952345,134.32595573440642
6677,6677,0.15435228124297729,134.34607645875252
7275,7275,0.15234028899109264,146.37826961770622
7276,7276,0.122445817068272,146.3983903420523
7277,7277,0.1215735374595011,146.4185110663984
7278,7278,0.13529927031458933,146.43863179074447
7569,7569,0.164233447392147,152.29376257545272
7570,7570,0.12,152.3138832997988
7571,7571,0.12876923048230232,152.33400402414486
7572,7572,0.08650294108804396,152.35412474849093
7573,7573,0.0853869547897605,152.374245472837
7574,7574,0.1096504605364242,152.3943661971831
7575,7575,0.16110222598689844,152.41448692152917
7823,7823,0.15848836142218367,157.40442655935612
7824,7824,0.13318962031389284,157.4245472837022
7825,7825,0.10996004793608946,157.44466800804827
7826,7826,0.0996229304987887,157.46478873239437
7827,7827,0.12157483412499115,157.48490945674044
7916,7916,0.122445817068272,159.27565392354123
7917,7917,0.08373273012018624,159.29577464788733
7918,7918,0.06167513040743361,159.3158953722334
7919,7919,0.062336708536651575,159.33601609657947
7920,7920,0.098388210102465,159.35613682092554
7921,7921,0.12083166903537765,159.3762575452716
7922,7922,0.1693774395091765,159.39637826961768
8032,8032,0.12739720822148706,161.60965794768612
8033,8033,0.0984048699036932,161.6297786720322
8034,8034,0.08236067977499789,161.64989939637826
8035,8035,0.1039834563766817,161.67002012072433
8036,8036,0.15705931448952345,161.6901408450704
8108,8108,0.07996803834887158,163.13883299798792
8109,8109,0.08140265890412568,163.158953722334
8110,8110,0.09589690820468906,163.17907444668006
8111,8111,0.07353614454114317,163.19919517102616
8112,8112,0.07840116045007597,163.21931589537223
8113,8113,0.15123887897791133,163.2394366197183
8367,8367,0.15993607669774315,168.3501006036217
8368,8368,0.1225,168.37022132796778
8369,8369,0.10995205752330736,168.39034205231388
8370,8370,0.14286073377719194,168.41046277665995
8372,8372,0.17717715762331665,168.4507042253521
8624,8624,0.1611661492891553,173.52112676056336
8625,8625,0.0695562644364782,173.54124748490943
8626,8626,0.07689466056274286,173.56136820925553
8627,8627,0.10416666666666667,173.5814889336016
8628,8628,0.1592762319078998,173.60160965794768
8734,8734,0.09208333333333334,175.7344064386318
8735,8735,0.06280472168056829,175.75452716297787
8736,8736,0.05480952969575882,175.77464788732394
8737,8737,0.07484346507579379,175.79476861167
8738,8738,0.08548742728086689,175.81488933601608
8739,8739,0.08877282548708039,175.83501006036215
8740,8740,0.0939496084449684,175.85513078470825
8741,8741,0.16693854986782933,175.87525150905432
